chrom	start	end	weight	ref	E1	E2	E3
chr1	0	200000		25.0			
chr1	200000	400000		15.0			
chr1	400000	600000		24.0			
chr1	600000	800000		33.0			
chr1	800000	1000000	0.0027277385679091424	81.0	0.7836080305501995	-0.037777853132472894	-0.28690623461744724
chr1	1000000	1200000	0.0021349590927008315	52.0	0.7878372366737739	-0.101490790010571	-0.30436741683111573
chr1	1200000	1400000	0.0020778974666617804	180.0	0.7706869146894167	-0.11818970907436249	-0.28802129993584236
chr1	1400000	1600000	0.002202975595745263	57.0	0.6866425789777179	-0.10314221651518322	-0.34190816858580086
chr1	1600000	1800000	0.0025617454897395838	113.0	0.7301056712455366	-0.11478264056595307	-0.3191192919056122
chr1	1800000	2000000	0.0020407639049445335	29.0	0.6898598172304028	-0.08024129113243461	-0.3265819614809868
chr1	2000000	2200000	0.001970136786663421	52.0	0.7408272692638199	-0.16651748614291526	-0.31275857686200537
chr1	2200000	2400000	0.0020168383065767128	32.0	0.7075169615436351	-0.18910619873932832	-0.33841953790454077
chr1	2400000	2600000	0.0017932721165773186	87.0	0.6203787102066517	-0.3553770793496037	-0.4201874072166197
chr1	2600000	2800000	0.005141653066048883	7.0	0.481882848446289	-0.3618637323779089	-0.4294478750567432
chr1	2800000	3000000	0.0028533512274236776	2.0	0.4844911608212479	-0.3545677765927426	-0.4404835366177196
chr1	3000000	3200000	0.0020799772350061506	14.0	0.5500299590752511	-0.29362439620633074	-0.4238075366625789
chr1	3200000	3400000	0.0020569640434655494	9.0	0.5601365256932231	-0.30499408128614663	-0.4370020158102335
chr1	3400000	3600000	0.0019428934474436236	24.0	0.6870314367074923	-0.26935987279804674	-0.4216406110873745
chr1	3600000	3800000	0.0017475073124525514	50.0	0.7024892970469192	-0.13203639717304763	-0.34376715458602813
chr1	3800000	4000000	0.002046226725182628	35.0	0.5227183966651728	-0.20473295595448507	-0.3716836758508305
chr1	4000000	4200000	0.002271445649235481	0.0	0.4470705206197172	-0.24872513460242357	-0.44223392354733204
chr1	4200000	4400000	0.0019094083771330934	0.0	0.34870728347284635	-0.18004779492214176	-0.5079656464451487
chr1	4400000	4600000	0.002545732308193165	9.0	0.3921904410742537	-0.2773012377872384	-0.47127863852492774
chr1	4600000	4800000	0.0022038817798935633	3.0	0.41821175400032096	-0.29392118480068247	-0.4523209914208235
chr1	4800000	5000000	0.002669119765371256	1.0	0.3440697367823238	-0.2708063285209219	-0.488156953128165
chr1	5000000	5200000	0.002781220888572462	1.0	0.34351336629063517	-0.21999949465290367	-0.47963237023164806
chr1	5200000	5400000	0.00232871709283294	0.0	0.31584269531148884	-0.2760899922021762	-0.45594173711143166
chr1	5400000	5600000	0.002246849389727266	3.0	0.39106627833166135	-0.2754587112583599	-0.4758477817762744
chr1	5600000	5800000	0.0021654953074952124	1.0	0.49596970816646846	-0.17318548528440175	-0.418521569331197
chr1	5800000	6000000	0.0018875658310608249	20.0	0.5678603717831914	-0.16093878220441565	-0.4304657099254078
chr1	6000000	6200000	0.0016510645332621233	33.0	0.6875671441267747	-0.008943810577194962	-0.3460115724891156
chr1	6200000	6400000	0.0018210779699550487	33.0	0.6947708571156533	0.03141512754701131	-0.34136522823311155
chr1	6400000	6600000	0.0017154566422856474	81.0	0.6934461749734739	0.06232997668712327	-0.3543013798808095
chr1	6600000	6800000	0.00201199501140521	39.0	0.5289846836811273	0.012505377099517266	-0.41503539129270234
chr1	6800000	7000000	0.002166138455147742	13.0	0.4736491097344268	0.08495406999646515	-0.4216077198517946
chr1	7000000	7200000	0.0022662083821445218	2.0	0.4696033116124961	0.02243177694043757	-0.4408669830406031
chr1	7200000	7400000	0.002371241760980035	6.0	0.48666458295931087	0.03140055882039134	-0.4583669464144212
chr1	7400000	7600000	0.002149629758680349	2.0	0.5006798590281816	0.055552119153781894	-0.41048109313714715
chr1	7600000	7800000	0.0021377126189050005	18.0	0.5173508677632893	0.05987257816566346	-0.41173624261917086
chr1	7800000	8000000	0.0021974012456778716	26.0	0.4111053832331917	0.06027858795932291	-0.48657091922966744
chr1	8000000	8200000	0.0022555418598000287	6.0	0.3341931697248311	0.02148787219695974	-0.5185331903890361
chr1	8200000	8400000	0.0021292841300830203	22.0	0.4270297411523299	0.07481197889539568	-0.508986046766234
chr1	8400000	8600000	0.002406538016056511	18.0	0.40834008519981485	0.10289092656255897	-0.5268533415747979
chr1	8600000	8800000	0.0023743269825312594	7.0	0.36375060224603306	0.08613978886020864	-0.5014560213676325
chr1	8800000	9000000	0.0019228141298600733	21.0	0.39262282365705986	0.049304385305038174	-0.5120662814321517
chr1	9000000	9200000	0.0018707545567446362	24.0	0.46805053278603076	0.07791932057461787	-0.4854195016519305
chr1	9200000	9400000	0.0018526179718745862	7.0	0.5346013895004073	0.08551838984626975	-0.42229828667146063
chr1	9400000	9600000	0.0020410577210845868	6.0	0.5229372492603372	0.03909683683028439	-0.4479880643481589
chr1	9600000	9800000	0.0018841575541629176	20.0	0.5321693284658339	0.03812337035287194	-0.5040513938194052
chr1	9800000	10000000	0.0018143033738481514	24.0	0.4269557226410624	-0.028151496325297606	-0.5499310279558187
chr1	10000000	10200000	0.002148366596010492	13.0	0.3946029849999619	0.013403408401890207	-0.5473081161690668
chr1	10200000	10400000	0.002190458927107363	23.0	0.46534101587327853	0.0005018552941650418	-0.5329397867566472
chr1	10400000	10600000	0.0019243758805728265	30.0	0.46452358179265385	-0.06662047061090477	-0.5076342711821875
chr1	10600000	10800000	0.0017331540140729954	13.0	0.6316089914522365	0.06310467247655265	-0.4576527876151562
chr1	10800000	11000000	0.0018440484225711981	7.0	0.5309809068110328	-0.01731089141186675	-0.49247194611052403
chr1	11000000	11200000	0.0020960701286353483	72.0	0.5555105565159386	-0.0611773049416993	-0.519734314117471
chr1	11200000	11400000	0.0019732331763419853	6.0	0.5484882212975721	-0.03925788038186241	-0.5224598005722741
chr1	11400000	11600000	0.0019209520067498223	3.0	0.5878178712410361	-0.026383272506173297	-0.4693243822731874
chr1	11600000	11800000	0.0017408479441833836	54.0	0.6532846753245414	-0.04623362961516898	-0.5266978888280536
chr1	11800000	12000000	0.0017652277023921872	46.0	0.6516267054937139	0.02644061841147292	-0.5124403182547516
chr1	12000000	12200000	0.0018488531801969476	25.0	0.6476934403873581	0.014301200098493188	-0.48297680259109366
chr1	12200000	12400000	0.0022130244997247625	12.0	0.4611964023918773	-0.08641753254136701	-0.5774406052677565
chr1	12400000	12600000	0.0020226945864950914	18.0	0.4756263713643958	0.001481755330949102	-0.5727827512729301
chr1	12600000	12800000	0.0021771889016926485	13.0	0.4524167280125104	-0.13818022439451869	-0.5961685494681261
chr1	12800000	13000000		13.0			
chr1	13000000	13200000		12.0			
